Year,automobile production(Number of Vehicles),Semiconductor industry revenue(in billion U.S dollars),USA_cars_inventory(Number of Vehicles),,,,,,,,
2000,58000000.0,,16359.1,,,,,,,,
2001,56000000.0,,13526.0,,,,,,,,
2002,59000000.0,,13903.8,,,,,,,,
2003,61000000.0,,15060.3,,,,,,,,
2004,65000000.0,,14648.3,,,,,,,,
2005,67000000.0,,12560.7,,,,,,,,
2006,69000000.0,,12671.8,,,,,,,,
2007,73000000.0,,12834.3,,,,,,,,
2008,71000000.0,,12191.8,,,,,,,,
2009,62000000.0,,10515.2,,,,,,,,
2010,77000000.0,,9675.0,,,,,,,,
2011,80000000.0,,8931.3,,,,,,,,
2012,84000000.0,299910000000.0,11479.1,,,,,,,,
2013,87000000.0,315430000000.0,13769.4,,,,,,,,
2014,90000000.0,340330000000.0,14914.3,,,,,,,,
2015,91000000.0,334930000000.0,14656.5,,,,,,,,
2016,95000000.0,343510000000.0,13640.5,,,,,,,,
2017,97000000.0,421720000000.0,12834.2,,,,,,,,
2018,97000000.0,476150000000.0,9657.5,,,,,,,,
2019,92000000.0,422340000000.0,7511.8,,,,,,,,
2020,78000000.0,466240000000.0,5347.8,,,,,,,,
2021,,,1529.0,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
