Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500
County,01/01/2019 12:00:00 AM,01,AL,01001,Autauga County,8110.723287671232877,47758.276712328767,85138958,14470735,22127663,13765785,14168058,15278457,3618376,1154142,448162,91811,15769
County,01/01/2019 12:00:00 AM,01,AL,01003,Baldwin County,35112.216438356164,188121.783561643836,278940542,51842873,65634486,36377222,49899088,51893440,17611808,3717992,1275016,542071,146546
County,01/01/2019 12:00:00 AM,01,AL,01005,Barbour County,3734.994520547945206,20951.005479452055,34572664,6242554,7728370,4779282,6053407,5471904,2978398,1065732,191201,41030,20786
County,01/01/2019 12:00:00 AM,01,AL,01007,Bibb County,2892.03013698630137,19501.969863013699,30816738,5818454,7574400,3586467,4305670,4645797,3905727,709471,208420,49110,13222
County,01/01/2019 12:00:00 AM,01,AL,01009,Blount County,7520.958904109589041,50305.041095890411,82113385,14450451,16177085,9701760,13543032,15626336,9928799,2064175,449185,130455,42107
County,01/01/2019 12:00:00 AM,01,AL,01011,Bullock County,1184.216438356164384,8916.783561643835616,14073795,3228134,2285462,1488130,2933530,1612285,1922939,390624,131615,51823,29253
County,01/01/2019 12:00:00 AM,01,AL,01013,Butler County,2866.402739726027397,16581.597260273973,29168148,5815762,8306058,3629846,3649871,4398640,1732237,1329804,243900,52871,9159
County,01/01/2019 12:00:00 AM,01,AL,01015,Calhoun County,20711.046575342466,92893.953424657534,168268136,34288887,46185319,24504554,26567289,25160313,8205219,2526998,567543,211355,50659
County,01/01/2019 12:00:00 AM,01,AL,01017,Chambers County,6212.265753424657534,27041.734246575342,45709986,8835925,12304850,5928319,5633133,8841764,3185374,648794,230646,54233,46948
County,01/01/2019 12:00:00 AM,01,AL,01019,Cherokee County,3709.027397260273973,22486.972602739726,33278548,5250273,6639801,5450678,6153339,5258091,3529634,748494,178824,58568,10846
County,01/01/2019 12:00:00 AM,01,AL,01021,Chilton County,6301.832876712328767,38126.167123287671,67936737,12942477,16044595,9233630,11059256,10256347,6543412,1504881,293325,42600,16214
County,01/01/2019 12:00:00 AM,01,AL,01023,Choctaw County,1410.416438356164384,11178.583561643836,18782384,4031286,3302267,2399801,3348529,3169640,1851811,488330,182354,7047,1319
County,01/01/2019 12:00:00 AM,01,AL,01025,Clarke County,3481.608219178082192,20140.391780821918,31356300,6545611,7175839,4400214,4366239,5691456,1900967,1014201,231990,19545,10238
County,01/01/2019 12:00:00 AM,01,AL,01027,Clay County,1832.191780821917808,11402.808219178082,24918052,4932106,5326996,3331210,4506293,4151731,2312262,280108,54101,19693,3552
County,01/01/2019 12:00:00 AM,01,AL,01029,Cleburne County,1635.783561643835616,13274.216438356164,26790133,4558211,7235468,3150490,3796804,5645982,1987156,325572,64011,17758,8681
County,01/01/2019 12:00:00 AM,01,AL,01031,Coffee County,7825.49041095890411,44516.509589041096,68679084,13200934,17534252,8677460,11186544,11724352,4767064,1020640,449224,81148,37466
County,01/01/2019 12:00:00 AM,01,AL,01033,Colbert County,10144.013698630137,45096.986301369863,72230195,16175638,21193914,9661974,11368786,9109797,2428643,1634263,516040,111485,29655
County,01/01/2019 12:00:00 AM,01,AL,01035,Conecuh County,1521.934246575342466,10545.065753424658,15886530,3136525,2733686,1889967,2623687,3331107,1244406,737544,177781,7040,4787
County,01/01/2019 12:00:00 AM,01,AL,01037,Coosa County,1267.452054794520548,9395.547945205479452,15376323,2953566,3708549,1291374,2045351,3354905,1247431,598299,137333,21260,18255
County,01/01/2019 12:00:00 AM,01,AL,01039,Covington County,6220.980821917808219,30828.019178082192,51733008,10492127,14733332,6467552,7229518,7293630,3381069,1716788,324317,80367,14308
County,01/01/2019 12:00:00 AM,01,AL,01041,Crenshaw County,1640.528767123287671,12131.471232876712,18948916,2975146,2729640,3279180,3253131,3390992,2541527,635145,124625,11801,7729
County,01/01/2019 12:00:00 AM,01,AL,01043,Cullman County,11098.915068493151,72669.084931506849,129359936,26777252,35397009,17561863,19484943,18083466,7179962,3981275,703011,152418,38737
County,01/01/2019 12:00:00 AM,01,AL,01045,Dale County,7380.073972602739726,41791.92602739726,66299526,13292582,16414958,9552732,10657979,11478867,3540763,790215,404816,114864,51750
County,01/01/2019 12:00:00 AM,01,AL,01047,Dallas County,6349.613698630136986,30846.386301369863,50618649,11376541,13511691,7433015,6781028,6067016,2874760,2016696,449477,64241,44184
County,01/01/2019 12:00:00 AM,01,AL,01049,DeKalb County,9309.065753424657534,62203.934246575342,101833684,15472503,26625139,15006949,17512951,18112467,6114428,2255015,544861,125018,64353
County,01/01/2019 12:00:00 AM,01,AL,01051,Elmore County,13978.194520547945,67230.805479452055,127771389,20561320,28626127,16963416,24284343,29988846,5557640,1078348,541521,68554,101274
County,01/01/2019 12:00:00 AM,01,AL,01053,Escambia County,5362.545205479452055,31270.454794520548,55062563,13471533,14522861,6833150,8310605,6495618,3325546,1666195,360673,62893,13489
County,01/01/2019 12:00:00 AM,01,AL,01055,Etowah County,17818.991780821918,84449.008219178082,142579948,29564717,38687788,21001529,24923173,18392595,6153181,3097002,579121,144492,36350
County,01/01/2019 12:00:00 AM,01,AL,01057,Fayette County,2243.8,14058.2,21805383,3551786,5233479,2991791,3830684,3329008,2192167,598358,62897,12736,2477
County,01/01/2019 12:00:00 AM,01,AL,01059,Franklin County,4496.728767123287671,26865.271232876712,43390809,7722570,10951962,6420371,7149041,6770650,3149790,779549,354180,86158,6538
County,01/01/2019 12:00:00 AM,01,AL,01061,Geneva County,3054.452054794520548,23216.547945205479,41930430,8337326,11027555,5516915,6059851,7895349,2220039,645569,149775,64336,13715
County,01/01/2019 12:00:00 AM,01,AL,01063,Greene County,1158.665753424657534,6952.334246575342466,11342263,2130275,2511823,1605428,1513411,2127106,1087263,277058,75447,14452,0
County,01/01/2019 12:00:00 AM,01,AL,01065,Hale County,2096.567123287671233,12554.432876712329,21199204,4297414,4769055,2571443,3444361,4000866,1519855,400815,171752,17152,6491
