Manufacturer,Q4_2018,Q1_2019,Q2_2019,Q3_2019,Q4_2019,Q1_2020,Q2_2020,Q3_2020,Q4_2020,Q1_2021,Q2_2021,
BMW Group,95440,82793,91229,86230,100738,67388,56244,77413,107299,77764,105901,
Daimler,98802,78898,80707,89766,103363,75265,69505,84628,95310,90032,92441,
Ford Motor Company,606569,582758,639039,576007,598728,514613,432315,549085,538587,518681,472259,
General Motors,784422,665182,733697,737279,734007,612440,490958,664016,770176,696226,674388,
Honda Motor Company,397831,369787,407408,429214,401961,298784,293502,378433,366068,347091,486419,
Hyundai Kia Auto Group,324998,288384,359796,336684,339757,272775,268265,339586,341688,344472,454920,
Jaguar Land Rover,36317,35250,27155,26666,36670,29202,18820,20599,33198,25067,22137,
Mazda,65203,70831,67722,69612,70385,67670,61199,74411,75796,78794,105909,
Nissan Motor Co,393871,407921,380215,351828,326766,293167,189611,263979,257894,313783,323297,
Stellantis - FCA,555221,498425,597685,565035,542528,446584,367082,507347,499430,469652,485313,
Subaru Corporation,176717,156754,182771,185804,174788,130591,136519,169446,175382,160426,160824,
Tesla,77525,30600,53300,54700,56525,52800,36800,139300,64002,66000,73301,
Toyota Motor Corp,602432,543716,608392,627194,604016,495747,398029,558449,660715,591270,656568,
Volkswagen Group,158315,149011,167294,165383,167313,160470,116965,147958,174202,160123,198663,
Volvo,24634,22058,28062,27305,30802,19485,23770,30349,36526,27239,36525,
